Year,Mineral,Average Price per Tonne in 1000s of UGX,Quantity in Tonnes,Value in 1000s of UGX
1999,Iron Ore,,61.28,
1999,Kaolin,,197.14,
1999,Gypsum,,256.3,
1999,Gold,,0.00473,
1999,Wolfram Ore,,0.32,
1999,Cassiterite,,0.49,
1999,Cobalt,,76.74,
1999,Columbite_Tantalite,,-,
1999,Vermiculite,,-,
1999,Galena,,,
1999,Aggregates,,,
1999,Beryl (1% Beryllium),,,
1998,Gold,,0.00815,
1998,Cassaterite,,1.102,
1998,Columbite_Tantalite,,0,
1998,Cobalt,,0,
1998,Wolfram Ore,,7.832,
1998,Iron Ore,,785,
1998,Galena,,0,
1998,Pozzolana,,0,
1998,Limestone,,140235,
1998,Gypsum,,143.35,
1998,Kaolin,,100,
1998,Aggregates,,0,
1998,Vericulite,,0,
1997,Gold,,0.00064,
1997,Cassaterite,,1.81,
1997,Columbite_Tantalite,,0,
1997,Cobalt,,0,
1997,Wolfram Ore,,1.175,
1997,Iron Ore,,2432,
1997,Galena,,0,
1997,Pozzolana,,0,
1997,Limestone,,919353,
1997,Gypsum,,0,
1997,Kaolin,,0,
1997,Aggregates,,0,
1997,Vericulite,,0,
1996,Gold,,0.003,
1996,Cassaterite,,0.38,
1996,Columbite_Tantalite,,0,
1996,Cobalt,,0,
1996,Wolfram Ore,,0,
1996,Iron Ore,,200,
1996,Galena,,0,
1996,Pozzolana,,0,
1996,Limestone,,159479,
1996,Gypsum,,2281,
1996,Kaolin,,0,
1996,Aggregates,,0,
1996,Vericulite,,0,
1995,Gold,,0.0015,
1995,Cassaterite,,4.289,
1995,Columbite_Tantalite,,1.824,
1995,Cobalt,,0,
1995,Wolfram Ore,,17.31,
1995,Iron Ore,,7,
1995,Galena,,0,
1995,Pozzolana,,0,
1995,Limestone,,209512,
1995,Gypsum,,5487,
1995,Kaolin,,0,
1995,Aggregates,,0,
1995,Vericulite,,0,
1994,Gold,,0.001627,
1994,Cassaterite,,3.704,
1994,Columbite_Tantalite,,0.435,
1994,Cobalt,,0,
1994,Wolfram Ore,,14.281,
1994,Iron Ore,,23.95,
1994,Galena,,0,
1994,Pozzolana,,0,
1994,Limestone,,163,
1994,Gypsum,,408,
1994,Kaolin,,0,
1994,Aggregates,,0,
1994,Vericulite,,0,
